,seed,actions
31,3944410031,"[1, 3, 2, 1, 1, 3, 0, 1, 1, 2, 0, 0, 0, 0, 3, 1, 1]"
32,3944410032,"[2, 0, 3, 1, 3, 3, 0, 2, 1, 2, 2, 0, 0, 1, 3]"
33,3944410033,"[0, 3, 1, 3, 2, 0, 2, 1, 1, 3, 2, 0, 3, 3, 3, 0, 2, 1, 2, 1, 2, 0, 0, 3, 1, 3, 1]"
34,3944410034,"[1, 2, 3, 1, 1, 2, 0, 2, 0, 1, 3, 3, 0, 0, 2, 1, 3, 1, 2, 0, 2, 1, 3, 1, 2, 2, 3, 0, 3, 0, 3, 0, 2, 0, 2, 1, 1]"
35,3944410035,"[0, 2, 1, 0, 0, 0, 2, 1, 2, 1, 3, 2, 1, 1, 2, 0, 1, 0, 3, 0, 0, 3, 3, 0, 2, 2, 2, 1, 2, 1, 3, 3, 1, 3, 3, 0, 1, 2, 2, 0, 3, 2, 1, 2, 0, 2, 0, 3, 0, 3, 1, 3, 1, 1, 3, 3, 0, 2, 2, 0, 1, 3, 1, 2, 2, 2, 0, 3, 1, 3, 0, 2, 1, 2, 0, 2, 0, 3, 0, 3, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 1, 2, 0, 0, 3, 1, 1, 3, 3, 3, 0, 2, 1, 0, 0, 0, 2, 2, 1, 3, 1, 2, 1, 3, 0, 3, 3, 1, 2, 2, 3, 0, 2, 2, 2, 1, 3, 2, 1, 3, 0, 0, 2, 2, 0, 3, 0, 3, 1, 3, 0, 3, 1, 1, 3, 1, 1, 2, 0, 2, 3, 3, 0, 2]"
36,3944410036,"[0, 2, 0, 0, 2, 0, 3, 3, 3, 1, 2, 0, 2, 2, 1, 3, 2, 0, 3, 1, 1, 1, 2, 1, 3, 3, 0, 2, 0, 0, 2, 0, 3, 3, 3, 1, 2, 0, 2, 2, 1, 3, 2, 0, 3, 1, 1, 1, 2, 2, 1, 0, 3, 1, 3, 3, 0, 2, 0, 0, 2, 0, 3, 3, 3, 1, 2, 0, 2, 1, 1, 1, 0, 1, 3, 1, 2]"
37,3944410037,"[0, 3, 3, 2, 1, 3, 3, 3, 0, 2, 2, 1, 2, 0, 1, 2, 0, 0, 0, 3, 0, 0, 2, 1, 0, 1, 3, 1, 1, 0, 1, 2, 1, 3, 3, 2, 1, 3, 3, 3, 0, 2, 1, 2, 2, 2, 0, 0, 0, 3, 0, 0, 2, 1, 1, 3, 1, 1, 3, 2, 1, 3, 3, 3, 0, 2, 2, 1, 2, 2, 0, 3, 1, 2, 0, 3, 0, 0, 2, 1, 3, 1, 3, 2, 1, 3, 3, 3, 0, 2, 2, 1, 2, 2, 0, 1, 3, 0, 0, 0, 1, 0, 2, 0, 3, 3, 3, 0, 3, 3, 1, 2, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 1, 1, 3, 0, 2, 0, 3, 3, 3]"
38,3944410038,"[1, 3, 3, 0, 3, 0, 1, 0, 2, 0, 0, 3, 3, 1, 2, 0, 1, 1, 1, 2, 1, 1, 3, 0, 1, 2, 2, 0, 0, 0, 3, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 2, 1, 2, 2, 1, 1, 3, 0, 3, 1, 3, 0, 0, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 1, 1, 3, 0, 0, 0, 1, 2, 1, 1, 2, 0, 0, 0, 3, 2, 1, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 2, 0, 0, 0, 3, 3, 1, 2, 0, 2, 1, 3, 1, 0, 2, 1, 2, 1, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 2, 3, 2, 1, 1, 2, 0, 2, 0, 3, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 0, 1, 2, 3, 0, 2, 1, 1, 1, 2, 0, 2, 0, 3, 2, 2, 1, 1, 3, 0, 3, 0, 0, 3, 0, 0, 3, 3, 1, 2, 0, 1, 1, 1, 2, 3, 0, 2, 1, 1, 1, 2, 0, 2, 0, 3, 2, 2, 1, 1, 3, 0, 3, 0, 0, 3, 3, 0, 0, 2, 1, 3, 1, 1, 1, 1, 2, 2, 0, 0, 0, 3, 1, 3, 1, 2, 2, 0, 2, 2, 1, 3, 1, 2, 0, 3, 0, 3, 0, 3, 1, 3, 0, 1, 0, 2, 2, 1, 2, 1, 3, 0, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 0, 2, 0, 0, 3, 3, 1, 2, 0, 1, 1, 1, 1, 2, 0, 3, 0, 2, 2, 1, 2, 1, 3, 0, 2, 2, 1, 1, 3, 0, 3, 1, 3, 0, 1, 3, 0, 0, 0, 2, 1, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 2, 1, 3, 0, 3, 0, 0, 2, 1, 2, 3, 0, 3, 1, 1, 2, 3, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 2, 0, 3, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 1, 2, 2, 0, 0, 0, 3, 1, 0, 2, 1, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 2, 0, 1, 1, 2, 2, 0, 3, 0, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 0, 1, 1, 2, 0, 3, 0, 2, 0, 0, 3, 3, 1, 2, 0, 1, 1, 1, 2, 1, 2, 0, 2, 2, 1, 3, 1, 3, 0, 2, 1, 3, 3, 3, 0, 0, 2, 2, 0, 1, 3, 3, 1, 1, 2, 2, 0, 2, 1, 2, 0, 0, 3, 2, 3, 1, 1, 3, 3, 3, 0, 0, 0, 0, 0, 2, 1, 3, 1, 1, 2, 1, 1, 2, 0, 2, 0, 3, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 0, 2, 2, 0, 3, 2, 1, 3, 3, 1, 1, 2, 2, 0, 2, 1, 2, 0, 0, 3, 2, 3, 1, 1, 3, 3, 3, 0, 0, 2, 2, 0, 1, 3, 3, 0, 1, 0, 2, 2, 1, 3, 1, 1, 2, 0, 2, 1, 2, 0, 0, 3, 2, 3, 1, 1, 3, 3, 3, 0, 0, 0, 2, 0, 0, 3, 3, 1, 2, 0, 1, 1, 1, 2, 0, 2, 1, 2, 2, 1, 1, 3, 3, 3, 3, 0, 0, 0, 0, 0, 2, 1, 3, 1, 1, 2, 1, 1, 2, 2, 0, 3, 0, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 2, 0, 3, 1, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 2, 1, 2, 2, 1, 1, 3, 3, 0, 2, 1, 3, 3, 3, 0, 0, 0, 1, 2, 2, 0, 1, 3, 3, 0, 2, 0, 0, 3, 3, 1, 2, 0, 2, 1, 3, 1, 1, 2, 1, 1, 2, 0, 2, 1, 2, 0, 0, 3, 2, 3, 1, 1, 3, 3, 3, 0, 0, 0, 0, 2, 1, 2, 1, 3, 1, 2, 0, 2, 2, 1, 3, 1, 2, 0, 3, 0, 3, 0, 3, 1, 1, 3, 0, 3, 2, 2, 1, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 1, 0, 0, 2, 1, 1, 2, 1, 2, 2, 1, 1, 3, 3, 0, 2, 1, 3, 3, 3, 0, 2, 0, 2, 0, 1, 3, 1, 1, 2, 0, 2, 1, 2, 0, 0, 3, 2, 3, 1, 1, 3, 3, 3, 0, 0, 3, 2, 2, 0, 0, 3, 1, 0, 0, 2, 1, 1, 2, 1, 2, 2, 1, 1, 3, 3, 3, 3, 0, 2, 0, 0, 3, 1, 0, 1, 2, 1, 2, 0, 2, 2, 1, 1, 3, 3, 3, 3, 0, 0, 0, 1, 0, 2, 2, 1, 2, 2, 1, 3, 1, 2, 0, 3, 0, 3, 0, 3, 3, 1, 2, 1, 2, 0, 2, 2, 1, 1, 3, 3, 3, 3, 0, 0, 0, 0, 3, 2, 2, 1, 2, 1, 2, 2, 1, 3, 1, 2, 0, 3, 0, 3, 0, 3, 0, 0, 3, 1, 0, 2, 1, 1, 2, 1, 2, 1, 3, 0, 2, 2, 1, 1, 3, 0, 3, 1, 3, 3, 0, 2, 2]"
39,3944410039,"[1, 0, 3, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 2, 0, 3, 1, 3, 2, 2, 0, 3, 0, 3, 3, 1, 2]"
40,3944410040,"[2, 1, 2, 3, 0, 2, 2, 2]"
